Name, Events, Parent, Total[%], Mean, CV[%], Median
All Events, 100000, 0, 100, , , 
  FSC-A, , , , 17087.1432846182, 172.026368267713, 13641.8106486479
  BSC-A, , , , 276423.089685136, 87.2870939211203, 219148.843504457
  FL1-A-Compensated, , , , -1.53479589033589, -1370.86995823992, -22.2347004679881
  S, 93024, 93.024, 93.024, , , 
    T, 84102, 90.4089267285862, 84.102, , , 
      U, 84101, 99.9988109676345, 84.101, , , 
        Fluorescent Cells, 0, 0, 0, , , 
        AC, 84094, 99.9916766744747, 84.094, , , 
        AD, 2, 0.00237809300721751, 0.002, , , 
        positive_control, 1251, 1.48749717601455, 1.251, , , 
        negative_control, 82845, 98.5065575914674, 82.845, , , 
  AA-Q1, 0, 0, 0, , , 
  AA-Q2, 63, 0.063, 0.063, , , 
  AA-Q3, 13426, 13.426, 13.426, , , 
  AA-Q4, 86511, 86.511, 86.511, , , 
  AB-Q1, 0, 0, 0, , , 
  AB-Q2, 0, 0, 0, , , 
  AB-Q3, 20929, 20.929, 20.929, , , 
  AB-Q4, 79071, 79.071, 79.071, , , 
  AH, 88242, 88.242, 88.242, , , 
