Name, Events, Parent, Total[%], Mean, CV[%], Median
All Events, 100000, 0, 100, , , 
  FSC-A, , , , 13187.2982803798, 184.620233106815, 9134.04543706939
  BSC-A, , , , 254842.08939719, 84.5228924749586, 200524.21049643
  FL1-A-Compensated, , , , -1.2285633113105, -1628.96694875103, -22.1822672440779
  S, 88222, 88.222, 88.222, , , 
    T, 79745, 90.3912856203668, 79.745, , , 
      U, 79744, 99.9987460028842, 79.744, , , 
        Fluorescent Cells, 0, 0, 0, , , 
        AC, 79732, 99.9849518459069, 79.732, , , 
        AD, 1, 0.00125401284109149, 0.001, , , 
        positive_control, 2058, 2.58075842696629, 2.058, , , 
        negative_control, 77688, 97.4217495987159, 77.688, , , 
  AA-Q1, 0, 0, 0, , , 
  AA-Q2, 50, 0.05, 0.05, , , 
  AA-Q3, 24286, 24.286, 24.286, , , 
  AA-Q4, 75664, 75.664, 75.664, , , 
  AB-Q1, 0, 0, 0, , , 
  AB-Q2, 0, 0, 0, , , 
  AB-Q3, 31744, 31.744, 31.744, , , 
  AB-Q4, 68256, 68.256, 68.256, , , 
  AH, 88202, 88.202, 88.202, , , 
